"Year","Labour productivity and related measures","Industry","VALUE"
1997,"Hours worked for all jobs","Energy sector",7737.6
1997,"Hours worked for all jobs","Information and communication sector",12275.2
1997,"Annual average number of hours worked for all jobs","All industries",1864
1997,"Annual average number of hours worked for all jobs","Business sector industries",1895
1997,"Annual average number of hours worked for all jobs","Goods-producing businesses",2109
1997,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2205
1997,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2183
1997,"Annual average number of hours worked for all jobs","Utilities [BS22]",1919
1997,"Annual average number of hours worked for all jobs","Construction [BS23]",2161
1997,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",2042
1997,"Annual average number of hours worked for all jobs","Service-producing businesses",1807
1997,"Annual average number of hours worked for all jobs","Energy sector",1959
1997,"Annual average number of hours worked for all jobs","Information and communication sector",1999
1997,"Total compensation for all jobs","All industries",9381728
1997,"Total compensation for all jobs","Business sector industries",6498372
1997,"Total compensation for all jobs","Goods-producing businesses",2503655
1997,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",413489
1997,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",152898
1997,"Total compensation for all jobs","Utilities [BS22]",169534
1997,"Total compensation for all jobs","Construction [BS23]",662531
1997,"Total compensation for all jobs","Manufacturing [BS3A]",1105203
1997,"Total compensation for all jobs","Service-producing businesses",3994717
1997,"Total compensation for all jobs","Energy sector",196099
1997,"Total compensation for all jobs","Information and communication sector",269551
1997,"Nominal value added","All industries",15973990
1997,"Nominal value added","Business sector industries",10987497
1997,"Nominal value added","Goods-producing businesses",4542195
1997,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",641155
1997,"Nominal value added","Mining and oil and gas extraction [BS21]",324478
1997,"Nominal value added","Utilities [BS22]",672247
1997,"Nominal value added","Construction [BS23]",816865
1997,"Nominal value added","Manufacturing [BS3A]",2087450
1997,"Nominal value added","Service-producing businesses",6445302
1997,"Nominal value added","Energy sector",841047
1997,"Nominal value added","Information and communication sector",524899
1997,"Real value added","All industries",22165371
1997,"Real value added","Business sector industries",14954005
1997,"Real value added","Goods-producing businesses",6749686
1997,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",577966
1997,"Real value added","Mining and oil and gas extraction [BS21]",1578010
1997,"Real value added","Utilities [BS22]",967522
1997,"Real value added","Construction [BS23]",1470546
1997,"Real value added","Manufacturing [BS3A]",2633454
1997,"Real value added","Service-producing businesses",8310202
1997,"Real value added","Energy sector",1543625
1997,"Real value added","Information and communication sector",542065
1997,"Labour productivity","All industries",37.9
1997,"Labour productivity","Business sector industries",33.8
1997,"Labour productivity","Goods-producing businesses",47.1
1997,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",16.9
1997,"Labour productivity","Mining and oil and gas extraction [BS21]",278.6
1997,"Labour productivity","Utilities [BS22]",144.9
1997,"Labour productivity","Construction [BS23]",38.8
1997,"Labour productivity","Manufacturing [BS3A]",44.9
1997,"Labour productivity","Service-producing businesses",27.8
1997,"Labour productivity","Energy sector",199.5
1997,"Labour productivity","Information and communication sector",44.2
1997,"Total compensation per hour worked","All industries",16.03
1997,"Total compensation per hour worked","Business sector industries",14.69
1997,"Total compensation per hour worked","Goods-producing businesses",17.49
1997,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",12.08
1997,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",26.99
1997,"Total compensation per hour worked","Utilities [BS22]",25.39
1997,"Total compensation per hour worked","Construction [BS23]",17.47
1997,"Total compensation per hour worked","Manufacturing [BS3A]",18.84
1997,"Total compensation per hour worked","Service-producing businesses",13.36
1997,"Total compensation per hour worked","Energy sector",25.34
1997,"Total compensation per hour worked","Information and communication sector",21.96
1997,"Unit labour cost","All industries",0.423
1997,"Unit labour cost","Business sector industries",0.435
1997,"Unit labour cost","Goods-producing businesses",0.371
1997,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.715
1997,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.097
1997,"Unit labour cost","Utilities [BS22]",0.175
1997,"Unit labour cost","Construction [BS23]",0.451
1997,"Unit labour cost","Manufacturing [BS3A]",0.42
1997,"Unit labour cost","Service-producing businesses",0.481
1997,"Unit labour cost","Energy sector",0.127
1997,"Unit labour cost","Information and communication sector",0.497
1997,"Unit labour cost in US dollars","All industries",0.306
1997,"Unit labour cost in US dollars","Business sector industries",0.314
1997,"Unit labour cost in US dollars","Goods-producing businesses",0.268
1997,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.517
1997,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.07
1997,"Unit labour cost in US dollars","Utilities [BS22]",0.127
1997,"Unit labour cost in US dollars","Construction [BS23]",0.325
1997,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.303
1997,"Unit labour cost in US dollars","Service-producing businesses",0.347
1997,"Unit labour cost in US dollars","Energy sector",0.092
1997,"Unit labour cost in US dollars","Information and communication sector",0.359
1997,"Labour share","All industries",58.7
1997,"Labour share","Business sector industries",59.1
1997,"Labour share","Goods-producing businesses",55.1
1997,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",64.5
1997,"Labour share","Mining and oil and gas extraction [BS21]",47.1
1997,"Labour share","Utilities [BS22]",25.2
1997,"Labour share","Construction [BS23]",81.1
1997,"Labour share","Manufacturing [BS3A]",52.9
1997,"Labour share","Service-producing businesses",62
1997,"Labour share","Energy sector",23.3
1997,"Labour share","Information and communication sector",51.4
1997,"Total number of jobs","All industries",3156905
1997,"Total number of jobs","Business sector industries",2370930
1997,"Total number of jobs","Goods-producing businesses",778605
1997,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",75555
1997,"Total number of jobs","Mining and oil and gas extraction [BS21]",13605
1997,"Total number of jobs","Utilities [BS22]",17950
1997,"Total number of jobs","Construction [BS23]",162000
1997,"Total number of jobs","Manufacturing [BS3A]",509495
1997,"Total number of jobs","Service-producing businesses",1592325
1997,"Total number of jobs","Energy sector",19575
1997,"Total number of jobs","Information and communication sector",81760
1997,"Hours worked for all jobs","All industries",5635847.1
1997,"Hours worked for all jobs","Business sector industries",4401945.1
1997,"Hours worked for all jobs","Goods-producing businesses",1556514.5
1997,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",165570.8
1997,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",27652.2
1997,"Hours worked for all jobs","Utilities [BS22]",32118.9
1997,"Hours worked for all jobs","Construction [BS23]",314369.3
1997,"Hours worked for all jobs","Manufacturing [BS3A]",1016803.3
1997,"Hours worked for all jobs","Service-producing businesses",2845430.6
1997,"Hours worked for all jobs","Energy sector",35395.3
1997,"Hours worked for all jobs","Information and communication sector",159519.2
1997,"Annual average number of hours worked for all jobs","All industries",1785
1997,"Annual average number of hours worked for all jobs","Business sector industries",1857
1997,"Annual average number of hours worked for all jobs","Goods-producing businesses",1999
1997,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2191
1997,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2033
1997,"Annual average number of hours worked for all jobs","Utilities [BS22]",1789
1997,"Annual average number of hours worked for all jobs","Construction [BS23]",1941
1997,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1996
1997,"Annual average number of hours worked for all jobs","Service-producing businesses",1787
1997,"Annual average number of hours worked for all jobs","Energy sector",1808
1997,"Annual average number of hours worked for all jobs","Information and communication sector",1951
1997,"Total compensation for all jobs","All industries",105574255
1997,"Total compensation for all jobs","Business sector industries",77158164
1997,"Total compensation for all jobs","Goods-producing businesses",31305919
1997,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",1503466
1997,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",858121
1997,"Total compensation for all jobs","Utilities [BS22]",1101732
1997,"Total compensation for all jobs","Construction [BS23]",7227378
1997,"Total compensation for all jobs","Manufacturing [BS3A]",20615222
1997,"Total compensation for all jobs","Service-producing businesses",45852245
1997,"Total compensation for all jobs","Energy sector",1209625
1997,"Total compensation for all jobs","Information and communication sector",4175991
1997,"Nominal value added","All industries",179713994
1997,"Nominal value added","Business sector industries",132383146
1997,"Nominal value added","Goods-producing businesses",58689085
1997,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",4606580
1997,"Nominal value added","Mining and oil and gas extraction [BS21]",1283511
